SKU,SM
SMPH19070191,PREGA NEWS TEST STRIP
SMPH19070192,THROMBOPHOB 20GM OINT
SMPH19070194,HEPTRAL 400MG TAB
SMPH19070195,THROMBOPHOB GEL 20GM
SMPH19070197,SEPTILIN TAB
SMPH19070199,CARIPILL TAB
SMPH19070200,CIRROSAM TAB 400 MG
SMPH19070201,SEPTILIN SYP 200 ML
SMPH19070204,PEGASTA 6MG INJ PFS
SMPH19070206,VELOCIT TEST KIT
SMPH19070210,NUSAM TAB 400 MG
SMPH19070211,REVLAMER 400MG TAB
SMPH19070219,REVLAMER 800MG TAB
SMPH19070220,PEGEX 6MG PFS INJ
SMPH19070226,CELIZAREN TAB
SMPH19070227,SURVANTA 8ML INJ
SMPH19070228,MACGESIA OIL 50 ML
SMPH19070229,CHROMINAC A TAB
SMPH19070239,SURVANTA 4ML INJ
SMPH19070242,I KNOW TEST KIT
SMPH19070246,ULTRAVIST 370MG 100ML [BAYER ZYDUS PHARMA]
SMPH19070248,UROGRAFIN 76% 20ML INJ [BAYER ZYDUS PHARMA]
SMPH19070253,CARIPAYA TAB
SMPH19070254,NUSAM TAB 200 MG
SMPH19070261,NEUKINE 300MCG PFS INJ
SMPH19070268,CARIPAPA TAB
SMPH19070276,THALIX 100MG CAP
SMPH19070279,ADESAM TAB 200 MG
SMPH19070280,ADESAM TAB 400 MG
SMPH19070291,ENDOKINE 300 MCG INJ
SMPH19070293,COEVITENZ CAP
SMPH19070295,CIROZE TAB 400 MG
SMPH19070297,SEVLAREN 400MG TAB
SMPH19070304,THALIX 50MG CAP
SMPH19070309,TCYTE SYP 100 ML
SMPH19070311,MISTABRON SOL
SMPH19070312,MINMIN PB SYP 120 ML
SMPH19070320,IGNICAR SYP 200ML
SMPH19070323,OMEGAVEN INJ 50 ML
SMPH19070347,ADENOMAC TAB 400 MG
SMPH19070349,DAPSONE 100MG TAB
SMPH19070368,FOSBAIT 500MG TAB
SMPH19070382,HANSEPRAN 100MG CAP
SMPH19070400,PILOMAX TAB 5 MG
SMPH19070407,BIOVORIN INJ 50 MG 5 ML
SMPH19070414,ULTRAVIST 300 INJ 50ML [BAYER ZYDUS PHARMA]
SMPH19070423,HEPTRAL T TAB
SMPH19070436,IGNICAR TAB
SMPH19070468,THROMBOTAS 20 GM
SMPH19070482,TRAZOGRAF 76% 20ML INJ [UNIQUE PHARM]
SMPH19070510,CARIYA TAB
SMPH19070544,PLATFAST SYP 150 ML
SMPH19070546,KABIMMUNE PLUS SACHET
SMPH19070595,LIOTON GEL 10GM
SMPH19070619,BIOVORIN TAB 15 MG
SMPH19070621,KABIMMUNE POWDER
SMPH19070628,IMUNOCIN SYP 200 ML
SMPH19070662,ADCUMIN 100ML SYP
SMPH19070697,SODABICARB 25ML INJ
SMPH19070703,TRAZOGRAF 76% 100ML INJ [UNIQUE PHARM]
SMPH19070718,SEVBAIT 400MG DT TAB
SMPH19070729,NEUKINE 150MCG PFS INJ
SMPH19070737,MINMIN-PB TAB
SMPH19070739,XGRAST 300MCG INJ
SMPH19070743,ACUTROL TAB 400 MG
SMPH19070744,FOSBAIT 250MG TAB
SMPH19070751,UROGRAFIN 76% 100ML INJ [BAYER ZYDUS PHARMA]
SMPH19070800,ADDPHOS SACHET
SMPH19070821,M-CARE CU DEVICE 375
SMPH19070856,LEUCORIN 2ML INJ
SMPH19070892,LEUCOVORIN 50MG 5ML INJ [SUN]
SMPH19071044,STERILE WATER FOR INJ 10ML [SUN]
SMPH19071226,BIOVORIN 15MG/2ML INJ
SMPH19071263,UROMITEXAN 2ML INJ
SMPH19071838,MESNA INJ
SMPH19078809,BETADINE GARGLE 100ML
SMPH19078810,BETADINE GARGLE 50ML
SMPH19078812,ZYTEE RB GEL 10ML
SMPH19078814,CANDID MOUTH PAINT 25ML
SMPH19078815,VANTEJ TOOTH PASTE 100GM
SMPH19078816,KENACORT 1% ORAL PASTE
SMPH19078818,HEXIDINE MOUTHWASH 160ML
SMPH19078821,TESS 5GM OINT
SMPH19078822,CLOHEX ADS MOUTH WASH 200ML
SMPH19078823,HEXIDINE MOUTHWASH 80ML
SMPH19078824,SENQUEL F PASTE 100GM
SMPH19078827,MUCOPAIN GEL 15GM
SMPH19078830,VANTEJ TOOTH PASTE 50GM
SMPH19078832,HEXIGEL 15GM
SMPH19078833,METROGYL DG GEL FORTE 20GM
SMPH19078834,CLOHEX MOUTH WASH 150ML
SMPH19078835,ORAWAYS OINT 5GM
SMPH19078837,CANDID MOUTH PAINT 20ML
SMPH19078846,DOLOGEL GEL 15 GM
SMPH19078847,DOLOGEL CT GEL
SMPH19078848,STOLIN GUM PAINT 15 ML
SMPH19078859,DENTOGEL GEL 15GM
SMPH19078865,LEXANOX PLUS 5GM SF PASTE
SMPH19078867,RA THERMOSEAL 100GM
SMPH19078875,ENAFIX TOOTH PASTE 70 G
SMPH19078886,WOKADINE GARGLE 2% 50ML
SMPH19078888,LEXANOX 5% 5GM PASTE
SMPH19078889,QUADRAJEL GEL 30GM
SMPH19078894,CANDID MOUTH GEL 10GM
SMPH19078897,AMFLOR TOOTH PASTE 70GM
SMPH19078920,LISTERINE COOLMINT 80ML
SMPH19078923,SENQUEL AD MOUTH WASH 200ML
SMPH19078948,CLORNI GEL 10GM
SMPH19078951,SMYLE MOUTH GEL 10GM
SMPH19078973,DENTOGEL GEL 10GM
SMPH19079103,WET MOUTHWASH 200 ML
SMPH19079254,CLOHEX ORAL RINSE
SMPH19079290,GLODENT TOOTHPASTE 70GM
SMPH19079409,BETADINE GARGLE 1 % 250 ML
SMPH19079422,KENACORT 1% ORAL PASTE
